,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,SUM  Completed,Labs,Lab Size,nPublications,Other Journals,University,Career Duration,Degree Area,degree,Latitude,Longitude,UndergradStudentCount,ranking,students staff ratio,perc intl students,near_city,crime_index,safety_index
367,"Rajesh K. Grover, Julong Cheng, Yingjie Peng, Teresa M. Jones, Diana I. Ruiz, Richard J. Ulevitch, John I. Glass, Edward A. Dennis, Daniel R. Salomon, and Richard A. Lerner",Stac3 Inhibits Myoblast Differentiation into Myotubes,Journal of Autoimmunity 28 (2007) 99-113,10.1073/pnas.1101273108,2012,,,,1.0,,"duplicated blot, shifted microscopy",1,12/1/2016,,1.0,,1,,,0 0 0 0 0 0 0 0  ,PLOS ONE PLOS ONE  ,National Taiwan University,12,"1] Institute of Bioinformatics and Biosignal Transduction, College of Bioscience and Biotechnology",,,,,,,,"Boston, MA, United States",32.75,36.23
368,"Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent",RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Cytokine 42 (2008) 222ï¿½233,10.1371/journal.pone.0096343,2013,,,1.0,,,"Overlapping microscopy, mirrored blot panels, multiple cases",1,11/1/2016,,,,1,"Department of Biochemistry and Molecular Biology, School of Medicine and Health Sciences, University of North Dakota, Grand Forks, North Dakota, USA",,0 0 0 0   0   ,PLOS ONE PLOS Medicine PLOS ONE PLOS ONE PLOS Genetics PLOS ONE PLOS Medicine PLOS Genetics PLOS ONE PLOS ONE PLOS ONE  ,University of Arizona,9,"Department of Oncology, Faculty of Medicine","DVM, PhD",,,,,,,"Detroit, MI, United States",26.19,26.15
369,"Michael Waters, Amanda Savoie, Helen S. Garmory, Dawn Bueschel, Michel R. Popoff, J. Glenn Songer, Richard W. Titball, Bruce A. McClane, and Mahfuzur R. Sarker",Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,"J. Clin. Microbiol. 2005, 43(8):4002",10.1128/IAI.73.3.1386-1398.2005,2013,,,1.0,1.0,1,Mirrored blot,1,5/6/2015,,1.0,,1,,5.0,0 0 3 3 1  ,PLOS ONE PLOS Computational Biology PLOS ONE  ,Dalhousie University,8,Department of Microbiology,,,,,,,,"Memphis, TN, United States",51.48,74.23
370,"Eva Hervet, Xavier Charpentier, Anne Vianney, Jean-Claude Lazzaroni, Christophe Gilbert, Daniele Atlan, and Patricia Doublet",HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,"Science 321, 1357 (2008)",10.1371/journal.ppat.1003896,2010,,,,1.0,1,"duplicated, and stretched blot",1,5/12/2016,,1.0,,1,,0.0,0 21 1 0 0  ,,University of Wisconsin-Madison,5,"Laboratoire de Gastroentérologie et Nutrition, Faculté de Médecine",,,-110.950815,,,11.0,,"Guangzhou, China",30.18,
371,"Ping Chen, Liya Huang, Yunwei Sun, Yaozong Yuan",Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,Lung Cancer 63 (2009) 227ï¿½234,10.1002/ijc.28280,2014,,,,1.0,1,Duplicated microscopy panels,1,3/1/2015,,1.0,,1,"Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany",,0 0 0 0   0   ,PLOS ONE  PLOS ONE PLOS Pathogens PLOS Genetics PLOS ONE ,National Cheng-Kung University,12,"Medical Biology Department, School of Medicine",PhD,,,,,,3%,"Memphis, TN, United States",33.36,70.1
372,"Hong Yu, Yuhao Sun, Courtney Haycraft, Viswanathan Palanisamy, Keith L. Kirkwood",High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,"Infect. Immun. Feb. 2003, p. 948ï¿½955 Vol. 71, No. 2",10.1371/journal.ppat.1004059,2009,,,,,,Duplicated microscopy image; might be error,1,10/29/2015,,1.0,1.0,1,,4.0,5 0 0 0 1 4 0 26 0  ,PLOS ONE  ,University of Texas Medical Branch,6,"Departments of Medicine, Biochemistry and Molecular Biology",,,,,,,,"Hong Kong, Hong Kong",63.77,66.97
373,"Teresa Lorenzi, Maria Lorenzi, Emma Altobelli, Daniela Marzioni, Emanuela Mensa__, Alexia Quaranta, Francesca Paolinelli, Manrico Morroni, Roberta Mazzucchelli, Antonio De Luca, Antonio Domenico Procopio, Alfonso Baldi, Giovanni Muzzonigro, Rodolfo Montironi, and Mario Castellucci",Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Cytokine 35 (2006) 67ï¿½76,10.1155/2014/272101,2013,,,,,,"Duplicated blot strips, multiple cases",1,3/28/2017,,1.0,,1,,,2  7 2 4 9 1 10 ,PLOS Genetics PLOS Genetics PLOS ONE PLOS Genetics PLOS Biology PLOS Genetics PLOS Genetics PLOS Genetics PLOS ONE PLOS Genetics PLOS Genetics PLOS Genetics PLOS Genetics PLOS Genetics PLOS ONE PLOS Genetics PLOS Genetics PLOS Genetics PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS Genetics PLOS Biology PLOS ONE PLOS Computational Biology PLOS Biology PLOS Genetics ,Chinese Academy of Medical Sciences,8,Department of Pediatrics,Doctor of Philosophy,,,,1377.0,,3%,"Memphis, TN, United States",64.07,
374,"Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong",Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1016/j.cyto.2006.07.009,2013,02February,,,,,Duplicated blot panel,1,,,,1.0,1,,,0  1 1  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS Medicine PLOS ONE PLOS Genetics PLOS ONE PLOS Computational Biology PLOS Biology PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS Genetics PLOS ONE ,Yale School of Medicine,12,Institute for Research in Molecular Medicine (INFORMM),,,,31185.0,,,,"Hanoi, Vietnam",73.85,69.64
375,"Jean-Philippe Lavigne, He_lï¿½ne Marchandin, Nicole Bouziges, and Albert SottoS",Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains,Cytokine 36 (2006) 245ï¿½253,10.1186/1471-2180-10-53,2014,,,,1.0,1,"Two cases of duplicated blots, different exposure",1,,,1.0,1.0,1,,12.0,0 0 0 3 ,PLOS Pathogens PLOS ONE PLOS Genetics PLOS ONE PLOS ONE  ,McGill University,14,"Division of Nephrology and Center for Lung Biology, Department of Medicine and Pathology",Phd,,,31185.0,,,,"Shanghai, China",,35.94
376,"Itshak Golan, Shlomo Nedvetzki, Ira Golan, Lora Eshkar-Sebban, David Levartovsky, Ori Elkayam, Dan Caspi, Suhail Aamar, Howard Amital, Alan Rubinow, David Naor",Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901,10.3892/ijo.2013.1809,2013,10.1016/j.lungcan.2011.01.012,,,1.0,,"duplicated lanes within same blot, or in different blots, duplicated microscopy panel",1,2/1/2016,,1.0,,1,"Department of Animal and Poultry Sciences, Virginia Tech, Blacksburg, Virginia, United States of America",,50 2 0 0 ,PLOS ONE PLOS ONE PLOS ONE ,University of Michigan School of Medicine,15,"Laboratoire de Gastroentérologie et Nutrition, Faculté de Médecine",,,,,,21.7,,"Shenzhen, China",34.32,69.64
377,"Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown",D14ï¿½SCFD3-dependent degradation of D53 regulates strigolactone signalling,Journal of Autoimmunity 28 (2007) 99-113,10.1038/nature08027,2000,,,,,,duplication of whole blot?,1,,,1.0,,1,"Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore",4.0,0 1 0 1  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS ONE PLOS ONE ,University of Perugia,8,"Department of Biochemistry, Institute of Medical Sciences",,,,,,,,,31.66,44.82
378,"Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker",Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93995",10.1371/journal.pone.0069485,2003,,1.0,,1.0,1,Shifted actin blot panels,1,,,,,1,,,2 2 3 2 ,PLOS ONE PLOS ONE  PLOS ONE PLOS ONE   ,University of North Carolina at Charlotte,8,"Department of Oral and Maxillofacial Pathology, College of Dentistry",,,,,,,,"Taipei, Taiwan",73.85,51.11
379,"Ye Zeng, Hu-Rong Sun, Chang Yu, Yi Lai, Xiao-Jing Liu, Jiang Wu, Huai-Qing Chen, Xiao-Heng Liu",Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"Science 325, 1254 (2009)",10.1371/journal.pone.0094472,2013,,,1.0,1.0,1,Duplicated microscopy images,1,9/12/2016,,1.0,1.0,1,,,22 24 1 2 2 9 50 18 1 2 0 18 50 38 8 , ,Xi'an Jiaotong University,12,"Department of Surgery, The Saban Research Institute, Children's Hospital Los Angeles, and Keck School of Medicine",,,-118.284169,,178.0,,,"Osaka, Japan",45.3,
380,"Hong-Xia Wang, Dong-Mei Zhang, Xiang-Jun Zeng, Jing Mu, Hui Yang, Ling-Qiao Lu, Li-Ke Zhang",Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development,"PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472",10.1155/2014/640857,2003,,,,1.0,,Overlapping microscopy,1,9/1/2014,,1.0,,1,"Crete Veterinary Clinic, Crete, Nebraska 68333-0008",0.0,2 0 2 3 2 2 9 ,PLOS ONE ,Banaras Hindu University,12,"Instituto de Fisiología Experimental, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Facultad de Ciencias Bioquímicas y Farmacéuticas",,,,,,16.6,0%,"Dublin, Ireland",54.96,26.15
381,"Markus Neumeier, Sabrina Bauer, Hilke Bru_hl, Kristina Eisinger, Andrea Kopp, Sabine Abke, Roland Walter, Andreas Schï¿½ffler, Christa Buechler n",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,mBio 2(6):  2011,10.1371/journal.pone.0069592,2008,,,,,,Overlapping microscopy images,1,3/28/2017,,1.0,,1,,,7 0 0 2 1 3 4 3  ,PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS Biology PLOS Pathogens PLOS Computational Biology PLOS ONE PLOS Genetics PLOS Neglected Tropical Diseases PLOS ONE PLOS ONE PLOS Neglected Tropical Diseases PLOS Pathogens ,Indian Veterinary Research Institute,12,Department of Parasitology,,44.56395,,,929.0,,,"Montreal, Canada",45.3,41.29
382,"Eva Hervet, Xavier Charpentier, Anne Vianney, Jean-Claude Lazzaroni, Christophe Gilbert, Daniele Atlan, and Patricia Doublet",Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,"Infect. Immun. 2012, 80(6):2121",10.1128/IAI.71.3.1209ï¿½1216.2003,2012,,,,1.0,,"duplicated gel panels, exact duplicate",1,6/3/2014,,,,1,"Division of Respiratory Medicine, Department of Medicine, United Christian Hospital",,12  0  ,PLOS ONE ,Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud,12,Department of Nutrition,PhD,,,,,,5%,,58.6,63.09
383,"Robert P. Ryan, Jean Lucey, Karen Oï¿½Donovan, Yvonne McCarthy, Liang Yang, Tim Tolker-Nielsen, and J. Maxwell Dow",Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats,Cytokine 42 (2008) 198ï¿½204,10.1002/ijc.27917,2009,,,1.0,1.0,,Duplicated microscopy images,1,11/14/2016,1.0,1.0,1.0,1,,14.0,0 0 0 7  ,PLOS ONE PLOS ONE PLOS Genetics PLOS Biology PLOS Computational Biology PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS Biology PLOS ONE PLOS Medicine PLOS Neglected Tropical Diseases PLOS Computational Biology PLOS ONE PLOS Pathogens PLOS Genetics PLOS ONE PLOS ONE ,Third Military Medical University,6,"Department of Traditional Chinese Medicine, Peking Union Medical College Hospital (PUMCH), Peking Union Medical College (PUMC)","DVM, PhD",,,,,,,"Lyon, France",39.74,73.81
384,"Laurent Guillon, Maher El Mecherki, Stephan Altenburger, Peter L. Graumann, and Isabelle J. Schalk",High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Cytokine 46 (2009) 96ï¿½99,10.1128/IAI.00956-09,2013,,,,1.0,,Duplicated and mirrored blot,1,12/1/2014,,1.0,,1,"Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America",,1 2  1 1  0 0  ,PLOS Pathogens PLOS ONE PLOS ONE PLOS ONE  ,University of Michigan School of Medicine,10,Department of Pathology,,,,,932.0,,8%,"Beijing, China",14.32,48.27
385,"Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker",Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,"Int. J. Cancer: 133, 2650ï¿½2661 (2013)",10.1128/IAI.00956-09,2014,JCM,,,,,Multiple cases of duplicated blots,1,11/11/2015,,,,1,"Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America",,50 4 19 1 2 50 24 4 35 ,PLOS ONE PLOS Biology  ,Cheongju University,15,Institute of Andrology,"MD, PhD",,,,,,,"Boston, MA, United States",33.36,69.82
386,"BO LI, YUEHUA YANG, SHENGDAN JIANG, BINBIN NI, KE CHEN, and LEISHENG JIANG",Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1002/ijc.28001,2014,,,,,,Duplicated microscopy panels,1,8/12/2014,,,,1,,43.0,0 , ,Oregon State University,13,"Institute of Pharmacology, Toxicology and Pharmacy",Clinical Microbiologist,,,,,8.3,,"Paris, France",54.86,26.15
387,Kyoung Sik Park (only one author),Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",10.1002/ijc.27917,2009,IAI,,1.0,,,"duplicated blot strips, slightly shifted",1,,,1.0,1.0,1,,,0 0 4 0  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS Biology PLOS ONE PLOS Genetics PLOS ONE PLOS Biology   ,American University of Beirut,13,"CENAR and Department of Molecular Medicine, Faculty of Medicine",,,,,,10.9,,"Salt Lake City, UT, United States",25.77,74.23
388,"S Kale, R Raja, D Thorat, G Soundararajan, TV Patil and GC Kundu",Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,"Cancer Cell 26, 754ï¿½769, November 10, 2014",10.1371/journal.pone.0090608,2014,JCM,,,1.0,,"Overlapping microscopy images, multiple cases",1,,,,,1,,0.0,0 33 0 20 27 4 0 0 0 16 0  , ,Nanjing Agricultural University,12,School of Pharmacy,,,,,178.0,9.1,1%,"Beirut, Lebanon",40.76,26.15
389,"Zhiqiang Wang, Baofang Jin, Xindong Zhang, Yugui Cui, Dalin Sun, and Chao Gao",Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,Cytokine 42 (2008) 222ï¿½233,10.1155/2014/936978,2013,IAI,,1.0,1.0,,"Multiple cases of duplicated blots, stretched",1,12/5/2016,,1.0,,1,,0.0,3 50 1 1 3 1 10 15 24 24 ,PLOS ONE PLOS ONE PLOS Computational Biology  PLOS Computational Biology PLOS ONE PLOS Computational Biology PLOS ONE PLOS Computational Biology PLOS ONE PLOS ONE  ,Oregon State University,8,McArdle Laboratory for Cancer Research,,,,19908.0,,,,,63.77,61.16
390,"Gong Yang, Imelda Mercado-Uribe, Asha S. Multani, Subrata Sen, Ie-Ming Shih, Kwong-Kwok Wong, David M. Gershenson, and Jinsong Liu",Stac3 Inhibits Myoblast Differentiation into Myotubes,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1371/journal.ppat.1004195,2013,04April,,,,,Duplicated microscopy panels,1,,,1.0,1.0,1,,28.0,1 0 0 7 1 0 4 15  ,PLOS ONE PLOS ONE  ,Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN),17,Department of Biology,PhD,,,,,28.3,,,25.07,53.13
391,"Samithamby Jeyaseelan, Hong Wei Chu, Scott K. Young, Mason W. Freeman, and G. Scott Worthen",Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",10.1016/j.cyto.2005.12.007,2013,,,1.0,1.0,,Duplicated area within the same blot,1,11/2/2016,,1.0,,1,"Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain",,1 0 38 9  ,PLOS ONE PLOS Pathogens PLOS ONE PLOS Pathogens  ,Cheongju University,15,Osteoncology Center,,,,,,,26%,"Lagos, Nigeria",26.22,70.1
392,"Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona",Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",10.1111/j.1462-2920.2012.02788.x,2003,07July,,1.0,1.0,,"Multiple, multiple cases of duplicated lanes within blots/gels",1,,,1.0,,1,,,0  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS Medicine PLOS ONE PLOS Genetics PLOS ONE PLOS Computational Biology PLOS Biology PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS Genetics PLOS ONE ,Westmead Millennium Institute and Centre for Oral Health,5,"Anhui Provincial Laboratories of Pathogen Biology and Zoonoses, Department of Microbiology and Parasitology",,,,,,10.8,12%,,31.66,54.7
393,"Asim A. Siddiqui, Jia Xainli, Jesse Schloegel, Lenore Carias, Francis Ntumngia, Menachem Shoham, Joanne L. Casey, Michael Foley, John H. Adams, and Christopher L. King",Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,"Nature, Vol 454, 7 August 2008, page 776",10.1371/journal.pone.0053510,2012,,,,,,"Two sets of duplicated blot panels, one rotated",1,,,1.0,,1,,,10 1 0  ,PLOS ONE PLOS ONE PLOS Pathogens PLOS Neglected Tropical Diseases PLOS ONE PLOS ONE PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS Neglected Tropical Diseases PLOS Medicine PLOS ONE PLOS Neglected Tropical Diseases  ,University of Arizona,8,School of Pharmacy,,,,,,14.0,29%,"Hanover, Germany",43.96,53.13
394,"Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent",Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Journal of Autoimmunity 24 (2005) 69-78,10.1038/nature10539,2005,,,,1.0,,"Overlapping microscopy, mirrored blot panels, multiple cases",1,11/24/2016,,1.0,,1,,,5 2 4 2 2 0 2 ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE ,Chonnam National University,30,"Department of Urology, The Third Affiliated Hospital",Phd,,,,563.0,,,"Taipei, Taiwan",,36.23
395,"Morgan E. Carlson, Michael Hsu, & Irina M. Conboy",Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1371/journal.pone.0090318,2013,01January,,,,1,"Duplicated blot strips, multiple cases",1,7/8/2015,,1.0,1.0,1,,9.0,0 0   ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE  ,University of Nebraska Medical Center,10,"Rosalind and Morris Goodman Cancer Research Centre, Department of Oncology",,,,,289.0,,,"Dhaka, Bangladesh",65.57,44.82
396,"CHIACHEN CHEN, YUAN-CHING CHANG, MICHAEL S. LAN, and MARY BRESLIN",Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,"Infect. Immun. Feb. 2003, p. 948ï¿½955 Vol. 71, No. 2",10.1016/j.cyto.2008.12.021,2013,,,1.0,1.0,,Duplicated microscopy images,1,,,,,1,,,6 2 2 13 19  9 7 50 0 4 6 3 4 19 ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE ,Banaras Hindu University,18,"Nephrology Unit, Department of Medicine, Faculty of Medicine",,,,,,28.5,,,68.89,59.24
397,"Michael Waters, Amanda Savoie, Helen S. Garmory, Dawn Bueschel, Michel R. Popoff, J. Glenn Songer, Richard W. Titball, Bruce A. McClane, and Mahfuzur R. Sarker",Tiam1 is associated with hepatocellular carcinoma metastasis,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pbio.1001847,2012,IAI,,,,1,"Several cuts, reused blot panel",1,9/16/2016,,,,1,"National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea",,2 1 7 1 0 3 9 4  ,PLOS ONE ,Hoshi University,9,"1] INSERM, U895 (équipe 1), Equipe labélisée Ligue Contre le Cancer, C3M, 06204 Nice, France [2] Université of Nice Sophia-Antipolis, UFR Médecine, 06204 Nice",PhD in Oncology,,,,,,,"Tokyo, Japan",32.75,26.15
398,"Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo Garcï¿½__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"Nature, Vol 459|18 June 2009",10.1016/j.cyto.2008.06.007,2014,,,1.0,,,Overlapping microscopy images,1,,,1.0,1.0,1,,0.0,15 0 0 2 1  ,PLOS ONE PLOS Genetics PLOS ONE PLOS Genetics PLOS ONE   ,University of Minnesota,13,University of Glasgow School of Medicine,,41.256312,,,,14.8,,,64.52,68.34
399,"Michael J. Wheeler, Barend H. J. de Graaf, Natalie Hadjiosif, Ruth M. Perry, Natalie S. Poulter, Kim Osman, Sabina Vatovec, Andrea Harper, F. Christopher H. Franklin, & Vernonica E. Franklin-Tong",Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,"Infect. Immun. 2012, 80(7):2558",10.1371/journal.pone.0089546,2013,,,,,1,duplicated/reused actin blot panels,1,,,,,1,,3.0,0 4 18 0 2  ,PLOS ONE PLOS ONE PLOS ONE ,Universitätsklinikum Erlangen,5,Crete Veterinary Clinic,,,,,,,,"Naples, Italy",30.18,69.82
400,"Dana Ben-Ami Shor, Miri Blank, Sandra Reuter, Torsten Matthias, Inbal Beiglass, Alexander Volkov, Iris Barshack, Yehuda Shoenfeld",Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,"Infect. Immun. 2012, 80(6):2121",10.1128/IAI.01769-14,2013,JCM,,,,,Overlapping microscopy images,1,2/23/2016,,1.0,,1,,6.0,1 0 1 10  ,PLOS ONE PLOS ONE PLOS Computational Biology  PLOS Computational Biology PLOS ONE PLOS Computational Biology PLOS ONE PLOS Computational Biology PLOS ONE PLOS ONE  ,Boston University School of Medicine,14,"Department of Traditional Chinese Medicine, Peking Union Medical College Hospital (PUMCH), Peking Union Medical College (PUMC)","MSc., PhD",,,,1377.0,16.1,,"Nicosia, Cyprus",33.36,46.16
401,"Sou-Ichi Makino, Toru Tobe, Hiroshi Asakura, Masahisa Watarai, Testuya Ikeda, Koichi Takeshi, and Chihiro Sasakawa",Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Cytokine 33 (2006) 138e144,10.1016/j.cyto.2008.06.007,2004,,1.0,,,,multiple duplications of negative blot strips,1,,,1.0,,1,"University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom",,2 1 7 1 0 3 9 4  , ,Hyogo College of Medicine,8,"Department of Applied Veterinary Science, Research Center for Animal Hygiene and Food Safety",,,,,484.0,,,"Hanoi, Vietnam",43.42,26.15
402,"Jessica M. Esparza, Eileen Oï¿½Toole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher",Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"Oncogene (2015) 34, 826ï¿½837",10.1128/JCM.42.12.5885-5888.2004,2012,,,,1.0,,2 adjacent lanes in same panel look very similar when one is stretched (multiplecases),1,7/28/2014,,,,1,"Case Western Reserve University, Center for Global Health and Diseases, Cleveland, Ohio, USA",,0 0 4 6 25 2 7 8 42  ,PLOS ONE PLOS Biology  ,Department of Medical Research,3,"1] Institute of Bioinformatics and Biosignal Transduction, College of Bioscience and Biotechnology",,,,,388.0,,22%,"Klang, Malaysia",45.84,63.09
403,"Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena",Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,"Journal of Applied Microbiology 2010, 109:1668ï¿½1676",10.1371/journal.pone.0053940,2012,,,,1.0,,Duplicated blot strips,1,7/11/2016,,,,1,,,4 0 16 12 0 14 0 0 ,PLOS ONE PLOS Medicine PLOS ONE PLOS ONE PLOS Genetics PLOS ONE PLOS Medicine PLOS Genetics PLOS ONE PLOS ONE PLOS ONE  ,CNRS Université de Strasbourg,4,Department of Pathology,,,,,,11.0,,"Ankara, Turkey",,
404,"Ingunn Holen, Jacob Whitworth, Faith Nutter, Alyson Evans, Hannah K Brown, Diane V Lefley, Ivana Barbaric, __Mark Jones, and Penelope D Ottewell",A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,"BioMed Research International Volume 2014, Article ID 424767",10.1111/j.1462-2920.2012.02788.x,2013,,,,,,Mirrored blot,1,9/19/2014,,1.0,,1,"Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America",,0 1 , ,Hyogo College of Medicine,6,Department of Oral and Molecular Microbiology,,,,,,15.8,1%,"Dhaka, Bangladesh",44.06,68.34
