	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	Labs	Lab Size	nPublications	Other Journals	University	Career Duration	Degree Area	Latitude	Longitude	UndergradStudentCount	ranking	students staff ratio	perc intl students	near_city	crime_index	safety_index
84	Min-Hee Cho, Hae-Jeong Ahn, Hyun-Joon Ha, Jungchan Park, Jeong-Hoon Chun, Bong-Su Kim, Hee-Bok Oh, and Gi-eun Rhie	Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__	Infect. Immun. Mar. 2010, p. 994ï¿½1003 Vol. 78, No. 3	10.1128/IAI.00956-09	2010	IAI			1.0		Multiple cases of duplicated blots, stretched	1				1.0	1	Division of High-risk Pathogen Research, Center for Infectious Diseases, National Institute of Health, 194 Tongil-Lo, Eunpyung-gu, Seoul 122-701, Korea	0	        	        	National Institute of Health	18	Division of High-risk Pathogen Research, Center for Infectious Diseases							Kuala Lumpur, Malaysia	63.85	36.15
85	Yuan Du, Tomomi Hashizume, Tomoko Kurita-Ochiai, Satoshi Yuzawa, Yoshimitsu Abiko, and Masafumi Yamamoto	Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__	Infect. Immun. Feb. 2011, p. 895ï¿½904 Vol. 79, No. 2	10.1128/IAI.01203-10	2011	IAI		1.0			Duplicated FACS plots, multiple cases	1	10/15/2015		1.0		1			      	      	Nihon University School of Dentistry at Matsudo	12	Department of Microbiology and Immunology							Tokyo, Japan	23.59	76.41
86	Eva Hervet, Xavier Charpentier, Anne Vianney, Jean-Claude Lazzaroni, Christophe Gilbert, Daniele Atlan, and Patricia Doublet	Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__	Infect. Immun. May 2011, p. 1936ï¿½1950 Vol. 79, No. 5	10.1128/IAI.00805-10	2011	IAI			1.0		Duplicated blot strips, stretched	1	7/8/2015		1.0		1			       	       	Université Lyon 1	37	Université de Lyon							Lyon, France	49.72	50.28
87	Asim A. Siddiqui, Jia Xainli, Jesse Schloegel, Lenore Carias, Francis Ntumngia, Menachem Shoham, Joanne L. Casey, Michael Foley, John H. Adams, and Christopher L. King	Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes	Infect. Immun. 2012, 80(8):2920	10.1128/IAI.00206-12	2012	IAI			1.0		duplicated, shifted, rotated blot strips/lanes	1	6/1/2015	1.0			1	Case Western Reserve University, Center for Global Health and Diseases, Cleveland, Ohio, USA	0	          	          	Case Western Reserve University	11	Case Western Reserve University	41.507419	-81.609596	5269.0	121.0	9.1	23%	Cleveland, OH, United States	64.06	35.94
88	Balamayooran Theivanthiran, Sanjay Batra, Gayathriy Balamayooran, Shanshan Cai, Koichi Kobayashi, Richard A. Flavell, and Samithamby Jeyaseelan	NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection	Infect. Immun. 2012, 80(7):2558	10.1128/IAI.06230-11	2012	IAI			1.0		duplicated, shifted blot panels	1	5/1/2015	1.0			1			       	       	Harvard Medical School	9	Laboratory of Lung Biology, Department of Pathobiological Sciences and Center for Experimental Infectious Disease Research							Boston, MA, United States	36.91	63.09
89	Balamayooran Theivanthiran, Sanjay Batra, Gayathriy Balamayooran, Shanshan Cai, Koichi Kobayashi, Richard A. Flavell, and Samithamby Jeyaseelan	NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection	Infect. Immun. 2012, 80(7):2558	10.1128/IAI.06230-11	2012	IAI			1.0		duplicated, shifted blot panels	1	5/1/2015	1.0			1			       	       	Harvard Medical School	9	Laboratory of Lung Biology, Department of Pathobiological Sciences and Center for Experimental Infectious Disease Research							Boston, MA, United States	36.91	63.09
90	Javier Santander, Greg Golden, Soo-Young Wanda, and Roy Curtiss III	Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host	Infect. Immun. 2012, 80(8):2689	10.1128/IAI.00013-12	2012	IAI			1.0		rotated duplicated colony photo	1	12/1/2015		1.0		1			    	    	Arizona State University	13	The Biodesign Institute, Center for Infectious Diseases and Vaccinology							Phoenix, AZ, United States	51.73	48.27
91	Kaitlyn Morse, Junzo Norimine, Guy H. Palmer, Eric L. Sutten, Timothy V. Baszler, and Wendy C. Brown	Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale	Infect. Immun. 2012, 80(1):215	10.1128/IAI.05798-11	2012	IAI			1.0		duplicated blot strips, slightly shifted	1				1.0	1	Program in Vector-Borne Diseases, Department of Veterinary Microbiology and Pathology, Washington State University, Pullman, Washington, USA	0	      	      	Washington State University	12	Program in Vector-Borne Diseases, Department of Veterinary Microbiology and Pathology, Paul G. Allen School for Global Animal Health	46.730448	-117.158168	25653.0	349.0	18.4	7%	Spokane, WA, United States	54.78	45.22
92	Wael Abdel Halim Hegazy, Xin Xu, Leonid Metelitsa, and Michael Hensel	Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens	Infect. Immun. 2012, 80(3):1193	10.1128/IAI.06056-11	2012	IAI		1.0			duplicated gel panels, exact duplicate	1			1.0		1	Mikrobiologisches Institut, Universitätsklinikum Erlangen, Erlangen, Germany	12	    	    	Universitätsklinikum Erlangen	10	Mikrobiologisches Institut							Nuremberg, Germany	32.75	67.25
93	Yun Sun, Wen-Jiang Zheng, Yong-Hua Hu, Bo-Guang Sun, and Li Sun	Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection	Infect. Immun. 2012, 80(8):2948	10.1128/IAI.00063-12	2012	IAI			1.0		very similar negative microscopy images, very similar cell grouping in other image	1				1.0	1	Key Laboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao, China	190	     	     	Chinese Academy of Sciences	2	Key Laboratory of Experimental Marine Biology, Institute of Oceanology							Beijing, China	33.36	66.64
94	Yun Sun, Wen-Jiang Zheng, Yong-Hua Hu, Bo-Guang Sun, and Li Sun	Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection	Infect. Immun. 2012, 80(8):2948	10.1128/IAI.00063-12	2012	IAI			1.0		very similar negative microscopy images, very similar cell grouping in other image	1				1.0	1	Key Laboratory of Experimental Marine Biology, Institute of Oceanology, Chinese Academy of Sciences, Qingdao, China	190	     	     	Chinese Academy of Sciences	2	Key Laboratory of Experimental Marine Biology, Institute of Oceanology							Beijing, China	33.36	66.64
95	Carlos J. Blondel, Juan C. Jime_nez, Lorenzo E. Leiva, Sergio A. ï¿½lvarez, Bernardo I. Pinto, Francisca Contreras, David Pezoa, Carlos A. Santiviago, and Inï¿½s Contrerasnd	The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages	Infect. Immun. 2013, 81(4):1207	10.1128/IAI.01165-12	2013	IAI			1.0		duplicated/mirrored blot panels (negative blots)	1	10/1/2015		1.0		1	Departamento de Bioquímica y Biología Molecular, Facultad de Ciencias Químicas y Farmacéuticas, Universidad de Chile, Santiago, Chile	31	         	         	Universidad de Chile	7	Departamento de Bioquímica y Biología Molecular, Facultad de Ciencias Químicas y Farmacéuticas							Santiago, Chile	57.64	42.36
96	Kelei Zhao, Xin Deng, Chuan He, Bisong Yue, and Min Wu	Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway	Infect. Immun. 2013, 81(12):4509	10.1128/IAI.01008-13	2013	IAI				1	duplicated blots, shifted, band duplicated within same panel	1	5/1/2015	1.0			1	Department of Biochemistry and Molecular Biology, School of Medicine and Health Sciences, University of North Dakota, Grand Forks, North Dakota, USA	0	     	     	University of North Dakota	8	Department of Biochemistry and Molecular Biology, School of Medicine and Health Sciences	47.921654	-97.071738	9519.0				Winnipeg, Canada	57.82	42.18
97	Whitney M. Amyot, Dennise deJesus, and Ralph R. Isberg 	Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System	Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13	10.1128/IAI.00552-13	2013	IAI		1.0			duplicated gel panels, exact duplicate	1	10/1/2014		1.0		1			   	   	Tufts University School of Medicine	6	Department of Molecular Biology and Microbiology, Graduate Program in Molecular Microbiology, Sackler School of Graduate Biomedical Science							Boston, MA, United States	36.91	63.09
98	Whitney M. Amyot, Dennise deJesus, and Ralph R. Isberg 	Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System	Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13	10.1128/IAI.00552-13	2013	IAI		1.0			duplicated gel panels, exact duplicate	1	10/1/2014		1.0		1			   	   	Tufts University School of Medicine	6	Department of Molecular Biology and Microbiology, Graduate Program in Molecular Microbiology, Sackler School of Graduate Biomedical Science							Boston, MA, United States	36.91	63.09
99	Xianqiong Zou, Brent S. Sorenson, Karen F. Ross, and Mark C. Herzberg	Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections	Infect. Immun. 2013, 81(11):3975	10.1128/IAI.00539-13	2013	IAI		1.0			duplicated actin blot panels, exact	1	3/1/2015		1.0		1	Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA	0	    	    	University of Minnesota	9	Department of Diagnostic and Biological Sciences, School of Dentistry				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
100	Xianqiong Zou, Brent S. Sorenson, Karen F. Ross, and Mark C. Herzberg	Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections	Infect. Immun. 2013, 81(11):3975	10.1128/IAI.00539-13	2013	IAI		1.0			duplicated actin blot panels, exact	1	3/1/2015		1.0		1	Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA	0	    	    	University of Minnesota	9	Department of Diagnostic and Biological Sciences, School of Dentistry				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
101	Xianqiong Zou, Brent S. Sorenson, Karen F. Ross, and Mark C. Herzberg	Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections	Infect. Immun. 2013, 81(11):3975	10.1128/IAI.00539-13	2013	IAI		1.0			duplicated actin blot panels, exact	1	3/1/2015		1.0		1	Department of Diagnostic and Biological Sciences, School of Dentistry, University of Minnesota, Minneapolis, Minnesota, USA	0	    	    	University of Minnesota	9	Department of Diagnostic and Biological Sciences, School of Dentistry				86.0	12.4	11%	Minneapolis, MN, United States	54.78	45.22
102	Xiucai Xu, Tingting Liu, Aimei Zhang, Xingxing Huo, Qingli Luo, Zhaowu Chen, Li Yu, Qing Li, Lili Liu, Zhao-rong Lun, and Jilong Shen	Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice	Infect. Immun. 2012, 80(6):2121	10.1128/IAI.06295-11	2013	IAI				1	duplicated FACS plots, one pair exact, other possibly altered, duplicated blot panels, flipped	1	4/1/2015	1.0			1			           	           	Anhui Medical University	3	Anhui Provincial Laboratories of Pathogen Biology and Zoonoses, Department of Microbiology and Parasitology							Shanghai, China	34.32	65.68
103	Jiale Ma, Yinli Bao, Min Sun, Wenyang Dong, Zihao Pan, Wei Zhang, Chengping Lu, Huochun Yao	Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways	Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867ï¿½3879	10.1128/IAI.01769-14	2014	IAI				1	Duplicated lanes within same blot	1	7/8/2015		1.0		1	College of Veterinary Medicine, Nanjing Agricultural University, Nanjing, China	65	        	        	Nanjing Agricultural University	8	College of Veterinary Medicine				728.0	16.3	3%	Memphis, TN, United States	73.85	26.15
104	N. Zhi, N. Ohashi, Y. Rikihisa, H. W. Horowitz, G. P. Wormser, and K. Hechemy	Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis	J. Clin. Microbiol. 1998, 36(6):1666-1673	PMID: 9620397	1998	JCM		1.0			duplication of whole blot?	1				1.0	1			      	      	The Ohio State University	8	Department of Veterinary Biosciences, College of Veterinary Medicine							Columbus, OH, United States	43.42	56.58
105	N. Zhi, N. Ohashi, Y. Rikihisa, H. W. Horowitz, G. P. Wormser, and K. Hechemy	Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis	J. Clin. Microbiol. 1998, 36(6):1666-1673	PMID: 9620397	1998	JCM		1.0			duplication of whole blot?	1				1.0	1			      	      	The Ohio State University	8	Department of Veterinary Biosciences, College of Veterinary Medicine							Columbus, OH, United States	43.42	56.58
106	Michael Waters, Amanda Savoie, Helen S. Garmory, Dawn Bueschel, Michel R. Popoff, J. Glenn Songer, Richard W. Titball, Bruce A. McClane, and Mahfuzur R. Sarker	Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets	J. Clin. Microbiol. 2003, 41(8):3584	10.1128/JCM.41.8.3584-3591.2003	2003	JCM	1.0			1	bands in gel appear to be spliced in	1				1.0	1			         	         	Oregon State University	15	Department of Microbiology	44.56395	-123.274723	25339.0	469.0	16.6	11%	Portland, OR, United States	51.48	48.52
107	Michael Waters, Amanda Savoie, Helen S. Garmory, Dawn Bueschel, Michel R. Popoff, J. Glenn Songer, Richard W. Titball, Bruce A. McClane, and Mahfuzur R. Sarker	Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets	J. Clin. Microbiol. 2003, 41(8):3584	10.1128/JCM.41.8.3584-3591.2003	2003	JCM	1.0			1	bands in gel appear to be spliced in	1				1.0	1			         	         	Oregon State University	15	Department of Microbiology	44.56395	-123.274723	25339.0	469.0	16.6	11%	Portland, OR, United States	51.48	48.52
108	Sou-Ichi Makino, Toru Tobe, Hiroshi Asakura, Masahisa Watarai, Testuya Ikeda, Koichi Takeshi, and Chihiro Sasakawa	Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains	J. Clin. Microbiol. 2003, 41(6):2341	10.1128/JCM.41.6.2341-2347.2003	2003	JCM	1.0			1	repetitive bands, and background in gel panel	1				1.0	1			       	       	Obihiro University of Agriculture and Veterinary Medicine	14	Department of Applied Veterinary Science, Research Center for Animal Hygiene and Food Safety							Tokyo, Japan	23.59	76.41
109	Chung-ming Chu, Patrick C. Y. Woo, Ken T. K. Chong, Wah-shing Leung, Veronica L. Chan, and Kwok-yung Yuen	Association of Presence of Aspergillus Antibodies with Hemoptysis in Patients with Old Tuberculosis or Bronchiectasis but No Radiologically Visible Mycetoma	J. Clin. Microbiol. 2004, 42(2):665	10.1128/JCM.42.2.665-669.2004	2004	JCM		1.0			multiple duplications of negative blot strips	1				1.0	1	Division of Respiratory Medicine, Department of Medicine, United Christian Hospital	0	      	      	The University of Hong Kong	5	Department of Medicine, United Christian Hospital							Hong Kong, Hong Kong	21.92	78.08
110	Patrick C. Y. Woo, Susanna K. P. Lau, Beatrice H. L. Wong, Kwok-Hung Chan, Wai-Ting Hui, Grace S. W. Kwan, J. S. Malik Peiris, Robert B. Couch, and Kwok-Yung Yuen	False-Positive Results in a Recombinant Severe Acute Respiratory Syndrome-Associated Coronavirus (SARS-CoV) Nucleocapsid Enzyme-Linked Immunosorbent Assay Due to HCoV-OC43 and HCoV-229E Rectified by Western Blotting with Recombinant SARS-CoV Spike Polypeptide	J. Clin. Microbiol. 2004, 42(12):5885	10.1128/JCM.42.12.5885-5888.2004	2004	JCM		1.0			two similar looking western blot strips	1				1.0	1			         	         	University Pathology Building	2	Department of Microbiology, The University of Hong Kong							Cleveland, OH, United States	64.06	35.94
111	Wulamu Mamuti, Hiroshi Yamasaki, Yasuhito Sako, Minoru Nakao, Ning Xiao, Kazuhiro Nakaya, Naoki Sato, Dominique A. Vuitton, Renaud Piarroux, Marshall W. Lightowlers, Philip S. Craig, and Akira Ito	Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B from Echinococcus multilocularis	J. Clin. Microbiol. 2004, 42(3):1082	10.1128/JCM.42.3.1082-1088.2004	2004	JCM		1.0			duplication of whole panel?	1				1.0	1			            	            	Asahikawa Medical College	7	Department of Parasitology							Tokyo, Japan	23.59	76.41
112	Jean-Philippe Lavigne, He_lï¿½ne Marchandin, Nicole Bouziges, and Albert SottoS	First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe	J. Clin. Microbiol. 2005, 43(7):3512. DOI: 10.1128/JCM.43.7.3512-3515.2005	10.1128/JCM.43.7.3512-3515.2005	2005	JCM				1	gel panel appears to have patches	1				1.0	1	Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, Avenue Kennedy, 30900 Nîmes, France	0	    	    	Faculté de Médecine	6	Laboratoire Universitaire d'Antibiologie							Freiburg im Breisgau, Germany	29.90	70.10
113	Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker	Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases	J. Clin. Microbiol. 2005, 43(8):4002	10.1128/JCM.43.8.4002-4009.2005	2005	JCM	1.0			1	duplicated background, pasted-in bands?	1				1.0	1	Department of Microbiology, Oregon State University, Corvallis, Oregon 97331	0	     	     	Oregon State University	15	Department of Microbiology	44.56395	-123.274723	25339.0	469.0	16.6	11%	Portland, OR, United States	51.48	48.52
114	Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker	Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases	J. Clin. Microbiol. 2005, 43(8):4002	10.1128/JCM.43.8.4002-4009.2005	2005	JCM	1.0			1	duplicated background, pasted-in bands?	1				1.0	1	Department of Microbiology, Oregon State University, Corvallis, Oregon 97331	0	     	     	Oregon State University	15	Department of Microbiology	44.56395	-123.274723	25339.0	469.0	16.6	11%	Portland, OR, United States	51.48	48.52
115	Ana Mena, Virginia Plasencia, Laura Garci_a, Olga Hidalgo, Josï¿½ Ignacio Ayestarï¿½n, Sebastiï¿½n Alberti, Nuria Borrell, Josï¿½ L. Pï¿½rez, and Antonio OliverW. Li	Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development	J. Clin. Microbiol. 2006, 44(8):2831	10.1128/JCM.00418-06	2006	JCM				1	duplicated bands within same gel panel	1				1.0	1			         	         	Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud	9	Servicio de Microbiología									
116	Henry E. Cerny, Douglas G. Rogers, Jeffrey T. Gray, David R. Smith, and Susanne Hinkley	Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells	J. Clin. Microbiol. 2006, 44(3):772	10.1128/JCM.44.3.772-776.2006	2006	JCM		1.0			duplicated microscopy panel	1				1.0	1	Crete Veterinary Clinic, Crete, Nebraska 68333-0008	0	     	     	Crete Veterinary Clinic	8	Crete Veterinary Clinic									
117	Suharni Mohamad, Norhaida Che Azmi, and Rahmah Noordin	Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)	J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09	10.1128/JCM.00001-09	2009	JCM	1.0			1	2 adjacent lanes in same panel look very similar when one is stretched (multiplecases)	1				1.0	1			   	   	Universiti Sains Malaysia	16	Institute for Research in Molecular Medicine (INFORMM)				767.0	10.7	14%	Penang, Malaysia	36.77	63.23
118	Adis Tasanarong, Supranee Kongkham, and Sookkasem Khositseth	Dual Inhibiting Senescence and Epithelial-to-Mesenchymal Transition by Erythropoietin Preserve Tubular Epithelial Cell Regeneration and Ameliorate Renal Fibrosis in Unilateral Ureteral Obstruction	BioMed Research International - Volume 2013, Article ID 308130	10.1155/2013/308130	2013				1.0		Overlapping microscopy images	1	3/19/2017		1.0		1			   	   	Thammasat University (Rangsit Campus)	9	Nephrology Unit, Department of Medicine, Faculty of Medicine							Memphis, TN, United States	73.85	26.15
119	Anahita Rahmani, Danial Kheradmand, Peyman Keyhanvar, Alireza Shoae-Hassani, and Amir Darbandi-Azar	Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells	BioMed Research International, Volume 2013, Article ID 582526	10.1155/2013/582526	2013				1.0	Paul Higgins	Rotated microscopy images	1	2/1/2015		1.0		1			     	     	Tehran University of Medical Sciences	9	Stem Cell and Tissue Engineering Department, Research Center for Science and Technology in Medicine (RCSTiM)				588.0	6.5	7%	Tehran, Iran	54.86	45.14
120	Gurbet Celik, Asli Semiz, Serdar Karakurt, Sevki Arslan, Orhan Adali, and Alaattin Sen	A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat	BioMed Research International Volume 2013, Article ID 358945	10.1155/2013/358945	2013			1.0			Multiple cases of reused blot panels	1	12/1/2014		1.0		1			      	      	Pamukkale University	9	Department of Biology							Antalya, Turkey	26.22	73.78
121	Gurbet Celik, Asli Semiz, Serdar Karakurt, Sevki Arslan, Orhan Adali, and Alaattin Sen	A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat	BioMed Research International Volume 2013, Article ID 358945	10.1155/2013/358945	2013			1.0			Multiple cases of reused blot panels	1	12/1/2014		1.0		1			      	      	Pamukkale University	9	Department of Biology							Antalya, Turkey	26.22	73.78
122	Young-Man Lee, Q-Schick Auh, Deok-Won Lee, Jun-Yeol Kim, Ha-Jin Jung, Seung-Ho Lee, and Eun-Cheol Kim	Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells	BioMed Research International Volume 2013, Article ID 210604	10.1155/2013/210604	2013		1.0	1.0		George Perry	Several cuts, reused blot panel	1	7/1/2014		1.0		1			       	       	Kyung Hee University	5	Department of Maxillofacial Tissue Regeneration and Research Center for Tooth & Periodontal Regeneration, School of Dentistry				272.0	17.5	23%	Seoul, South Korea	25.77	74.23
123	Young-Man Lee, Q-Schick Auh, Deok-Won Lee, Jun-Yeol Kim, Ha-Jin Jung, Seung-Ho Lee, and Eun-Cheol Kim	Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells	BioMed Research International Volume 2013, Article ID 210604	10.1155/2013/210604	2013		1.0	1.0		George Perry	Several cuts, reused blot panel	1	7/1/2014		1.0		1			       	       	Kyung Hee University	5	Department of Maxillofacial Tissue Regeneration and Research Center for Tooth & Periodontal Regeneration, School of Dentistry				272.0	17.5	23%	Seoul, South Korea	25.77	74.23
124	Chih-Zen Chang, Shu-Chuan Wu, and Aij-Lie Kwan	Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm	BioMed Research International, Volume 2014, Article ID 272101	10.1155/2014/272101	2014				1.0		Two sets of duplicated blot panels, one rotated	1	1/12/2016		1.0		1			   	   	Kaohsiung Medical University Hospital	7	Department of Surgery, Faculty of Medicine, School of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan ; Department of Neurosurgery							Taipei, Taiwan	14.32	85.68
125	Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia A_vila-Gonzï¿½lez, and Rossana Arroyoi	__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism	BioMed Research International Volume 2014, Article ID 424767	10.1155/2014/424767	2014			1.0			Multiple cases of reused blot strips	1	5/23/2016		1.0		1			    	    	Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN)	9	Departamento de Infectómica y Patogénesis Molecular							Belo Horizonte, Brazil	63.77	36.23
126	Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, and Qingduan Wang	Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells	BioMed Research International, Volume 2014, Article ID 164391	10.1155/2014/164391	2014				1.0		Shifted actin blot panels	1	12/5/2016	1.0			1			         	         	Zhang Zhongjing College of Chinese Medicine	10	Zhang Zhongjing College of Chinese Medicine									
127	Silvana Lorena Della Penna, Gabriel Cao, Andrea Carranza, Elsa Zotta, Susana Gorzalczany, Carolina Susana Cerrudo, Natalia Luci_a Rukavina Mikusic, Alicia Correa, Verï¿½nica Trida, Jorge Eduardo Toblli, Marï¿½a Inï¿½s Rosï¿½n, and Belisario Enrique Fernï¿½ndezlypep	Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet	BioMed Research International, Volume 2014, Article ID 936978	10.1155/2014/936978	2014			1.0			Duplicated microscopy images, and other panels taken from previous paper	1	9/1/2014		1.0		1			            	            	University of Buenos Aires	11	Department of Pathophysiology, School of Pharmacy and Biochemistry							Buenos Aires, Argentina	63.07	36.93
128	Mao-Lin Ho, Yih-Shou Hsieh, Jia-Yuh Chen, Kuo-Shuen Chen, Jia-Jing Chen, Wu-Hsien Kuo, Shu-Jiuan Lin, and Pei-Ni Chen	Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo	Evidence-Based Complementary, and Alternative Medicine, Volume 2011, Article ID 507920	10.1155/2011/507920	2011				1.0		Two sets of rotated microscopy images	1	11/11/2015		1.0		1			        	        	Chung Shan Medical University	12	Institute of Medicine							Taipei, Taiwan	14.32	85.68
129	Chao-Bin Yeh, Ming-Ju Hsieh, Yih-Shou Hsieh, Ming-Hsien Chien, Pen-Yuan Lin, Hui-Ling Chiou, and Shun-Fa Yang	Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity	Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 595292	10.1155/2012/595292	2012				1.0		overlapping microscopy images	1	11/15/2015		1.0		1			       	       	Chung Shan Medical University Hospital	4	School of Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan ; Department of Emergency Medicine							Taipei, Taiwan	14.32	85.68
